model,case_id,slice_idx,dice_liver,dice_tumor,dice_avg,hd_full_liver,hd_full_tumor,hd95_liver,hd95_tumor,hd95_avg
Dataset003_LiTS_Full,volume-0,58,0.9739,0.7459,0.8599,22.6763,26.5434,5.0,5.0,5.0
Dataset003_LiTS_Full,volume-103,529,0.9741,0.8734,0.9238,10.325,8.7252,2.1,3.2814,2.6907
Dataset003_LiTS_Full,volume-11,416,0.9578,0.7571,0.8575,68.0017,70.3431,5.8334,2.7589,4.2961
Dataset003_LiTS_Full,volume-114,423,0.9822,1.0,0.9911,9.647,,1.7486,,1.7486
Dataset003_LiTS_Full,volume-116,583,0.9064,0.0,0.4532,69.2153,1.8446742974197924e+19,11.7634,1.8446742974197924e+19,9.223371487098962e+18
Dataset003_LiTS_Full,volume-117,462,0.9512,0.886,0.9186,17.9801,20.2511,2.8037,3.1557,2.9797
Dataset003_LiTS_Full,volume-118,251,0.9389,0.7783,0.8586,21.4271,20.7737,6.7385,11.9529,9.3457
Dataset003_LiTS_Full,volume-119,230,0.9735,1.0,0.9868,23.8715,,3.7885,,3.7885
Dataset003_LiTS_Full,volume-120,263,0.9761,0.7345,0.8553,40.3251,41.2863,3.0,3.0739,3.0369
Dataset003_LiTS_Full,volume-124,235,0.9725,0.8856,0.929,25.2341,46.4654,2.1667,3.2498,2.7083
Dataset003_LiTS_Full,volume-126,226,0.982,0.7465,0.8642,40.1455,98.1643,1.9922,7.9309,4.9616
Dataset003_LiTS_Full,volume-13,363,0.966,0.5402,0.7531,45.3468,41.6228,3.5963,28.4466,16.0214
Dataset003_LiTS_Full,volume-130,505,0.9107,0.5883,0.7495,31.842,45.852,12.7378,21.6568,17.1973
Dataset003_LiTS_Full,volume-17,404,0.978,0.8671,0.9226,21.2625,4.7429,3.0682,2.1047,2.5865
Dataset003_LiTS_Full,volume-20,477,0.97,0.4493,0.7097,18.5614,92.9827,3.5801,71.8365,37.7083
Dataset003_LiTS_Full,volume-25,521,0.9649,0.0,0.4824,22.2879,1.8446742974197924e+19,4.9024,1.8446742974197924e+19,9.223371487098962e+18
Dataset003_LiTS_Full,volume-27,428,0.965,0.84,0.9025,20.5504,65.5787,2.9883,4.4963,3.7423
Dataset003_LiTS_Full,volume-28,63,0.965,0.8842,0.9246,34.1174,24.6577,4.0,5.0,4.5
Dataset003_LiTS_Full,volume-29,69,0.971,0.3254,0.6482,20.3224,17.0,3.0,11.1444,7.0722
Dataset003_LiTS_Full,volume-3,361,0.9758,0.8495,0.9126,27.4994,91.5532,2.6925,1.8449,2.2687
Dataset003_LiTS_Full,volume-35,60,0.9147,0.3493,0.632,121.9754,133.8096,44.2779,121.7423,83.0101
Dataset003_LiTS_Full,volume-4,463,0.838,0.6952,0.7666,123.7855,60.2996,39.1238,20.0673,29.5956
Dataset003_LiTS_Full,volume-43,59,0.9342,0.0,0.4671,70.5762,1.8446742974197924e+19,14.0357,1.8446742974197924e+19,9.223371487098962e+18
Dataset003_LiTS_Full,volume-53,64,0.9778,0.5915,0.7847,31.281,6.7007,3.8013,4.3463,4.0738
Dataset003_LiTS_Full,volume-54,77,0.9726,0.3714,0.672,21.0687,5.9977,4.1406,5.2672,4.7039
Dataset003_LiTS_Full,volume-57,326,0.9591,0.8106,0.8849,21.4268,70.777,3.763,1.8815,2.8222
Dataset003_LiTS_Full,volume-6,353,0.973,0.8699,0.9215,27.4532,6.997,2.9363,2.1934,2.5649
Dataset003_LiTS_Full,volume-62,114,0.9791,0.6611,0.8201,27.101,6.7757,2.3239,3.2227,2.7733
Dataset003_LiTS_Full,volume-64,189,0.9743,0.8493,0.9118,33.1117,87.9708,3.0722,12.1998,7.636
Dataset003_LiTS_Full,volume-69,202,0.967,0.85,0.9085,23.9951,159.0972,3.0156,2.2617,2.6387
Dataset003_LiTS_Full,volume-70,286,0.9525,0.8265,0.8895,24.5039,85.9963,3.9812,3.75,3.8656
Dataset003_LiTS_Full,volume-71,75,0.9437,0.685,0.8143,25.594,82.9085,5.4823,15.6173,10.5498
Dataset003_LiTS_Full,volume-75,70,0.9673,0.841,0.9041,45.8244,61.6307,5.0,2.3964,3.6982
Dataset003_LiTS_Full,volume-77,77,0.9551,0.4949,0.725,20.0,40.746,5.0,10.1213,7.5606
Dataset003_LiTS_Full,volume-83,572,0.9735,0.6911,0.8323,23.4566,80.9096,2.347,1.0202,1.6836
Dataset003_LiTS_Full,volume-86,496,0.9778,0.5755,0.7766,14.626,11.2934,2.167,8.4278,5.2974
Dataset003_LiTS_Full,volume-89,383,0.9784,1.0,0.9892,11.3823,,1.7221,,1.7221
Dataset003_LiTS_Full,volume-91,375,0.9857,0.0,0.4928,11.0092,1.8446742974197924e+19,1.2134,1.8446742974197924e+19,9.223371487098962e+18
Dataset003_LiTS_Full,volume-94,577,0.9696,0.6436,0.8066,37.7953,36.1581,3.0211,22.8547,12.9379
Dataset003_LiTS_Full,volume-97,574,0.8455,0.8908,0.8681,116.5643,145.0136,62.1927,3.2318,32.7122
Dataset004_LiTSMaisiFullMixed,volume-0,58,0.9601,0.7108,0.8354,25.7981,100.9672,5.0,5.0,5.0
Dataset004_LiTSMaisiFullMixed,volume-103,529,0.9729,0.8768,0.9248,12.4755,9.243,2.2675,3.0844,2.676
Dataset004_LiTSMaisiFullMixed,volume-11,416,0.9007,0.7625,0.8316,145.1411,123.1381,96.9158,85.0495,90.9826
Dataset004_LiTSMaisiFullMixed,volume-114,423,0.9458,0.0,0.4729,120.4588,1.8446742974197924e+19,80.5755,1.8446742974197924e+19,9.223371487098962e+18
Dataset004_LiTSMaisiFullMixed,volume-116,583,0.9072,0.0,0.4536,32.8133,1.8446742974197924e+19,11.6256,1.8446742974197924e+19,9.223371487098962e+18
Dataset004_LiTSMaisiFullMixed,volume-117,462,0.9399,0.884,0.9119,89.2363,15.8377,3.874,3.299,3.5865
Dataset004_LiTSMaisiFullMixed,volume-118,251,0.9475,0.8753,0.9114,120.1706,48.5183,5.3903,8.3533,6.8718
Dataset004_LiTSMaisiFullMixed,volume-119,230,0.9743,1.0,0.9871,20.2788,,3.375,,3.375
Dataset004_LiTSMaisiFullMixed,volume-120,263,0.9735,0.7215,0.8475,106.3587,41.0239,3.0,4.6757,3.8378
Dataset004_LiTSMaisiFullMixed,volume-124,235,0.9727,0.8892,0.9309,26.8545,42.533,2.0508,3.5723,2.8115
Dataset004_LiTSMaisiFullMixed,volume-126,226,0.9775,0.6017,0.7896,73.7353,99.2233,2.6562,95.9062,49.2812
Dataset004_LiTSMaisiFullMixed,volume-13,363,0.9313,0.3672,0.6493,124.6648,125.6037,49.5673,118.5079,84.0376
Dataset004_LiTSMaisiFullMixed,volume-130,505,0.9436,0.6545,0.799,52.7204,46.3305,11.5481,21.4637,16.5059
Dataset004_LiTSMaisiFullMixed,volume-17,404,0.9357,0.8647,0.9002,124.3432,5.069,78.6352,2.1852,40.4102
Dataset004_LiTSMaisiFullMixed,volume-20,477,0.9706,0.3523,0.6615,30.6818,93.0619,4.0049,87.0928,45.5489
Dataset004_LiTSMaisiFullMixed,volume-25,521,0.9686,0.2723,0.6204,23.9177,103.2551,3.8749,101.9131,52.894
Dataset004_LiTSMaisiFullMixed,volume-27,428,0.9588,0.7956,0.8772,20.9835,37.0486,4.545,6.1043,5.3246
Dataset004_LiTSMaisiFullMixed,volume-28,63,0.9677,0.8806,0.9242,70.7743,95.0053,4.0,5.0,4.5
Dataset004_LiTSMaisiFullMixed,volume-29,69,0.9639,0.3525,0.6582,97.8724,144.9448,5.3852,12.6531,9.0191
Dataset004_LiTSMaisiFullMixed,volume-3,361,0.9742,0.8507,0.9124,149.574,91.0659,3.0286,1.7097,2.3692
Dataset004_LiTSMaisiFullMixed,volume-35,60,0.956,0.1914,0.5737,101.6317,143.6558,25.04,105.9396,65.4898
Dataset004_LiTSMaisiFullMixed,volume-4,463,0.8264,0.8841,0.8553,136.4735,115.0827,69.9315,8.2984,39.115
Dataset004_LiTSMaisiFullMixed,volume-43,59,0.9302,0.366,0.6481,135.5655,129.8692,13.6382,124.6204,69.1293
Dataset004_LiTSMaisiFullMixed,volume-53,64,0.9751,0.5356,0.7553,127.0873,140.2966,4.4286,9.7909,7.1098
Dataset004_LiTSMaisiFullMixed,volume-54,77,0.9397,0.5152,0.7274,309.5408,5.0681,10.0,5.0,7.5
Dataset004_LiTSMaisiFullMixed,volume-57,326,0.9599,0.8399,0.8999,21.951,85.1369,3.8281,2.5716,3.1998
Dataset004_LiTSMaisiFullMixed,volume-6,353,0.9558,0.8365,0.8962,78.4302,53.3403,18.6009,3.2441,10.9225
Dataset004_LiTSMaisiFullMixed,volume-62,114,0.9762,0.6906,0.8334,28.6192,7.1632,2.5781,3.2227,2.9004
Dataset004_LiTSMaisiFullMixed,volume-64,189,0.9696,0.9575,0.9636,166.7164,4.9774,3.169,2.2822,2.7256
Dataset004_LiTSMaisiFullMixed,volume-69,202,0.962,0.8177,0.8898,142.2572,159.7207,5.4963,155.0639,80.2801
Dataset004_LiTSMaisiFullMixed,volume-70,286,0.9578,0.8831,0.9205,33.4805,80.2519,3.4527,2.9883,3.2205
Dataset004_LiTSMaisiFullMixed,volume-71,75,0.9411,0.7193,0.8302,85.2343,48.0939,5.9611,13.371,9.666
Dataset004_LiTSMaisiFullMixed,volume-75,70,0.9337,0.7037,0.8187,101.0086,119.7324,59.6544,102.818,81.2362
Dataset004_LiTSMaisiFullMixed,volume-77,77,0.9494,0.547,0.7482,25.0,40.746,5.0606,7.4087,6.2346
Dataset004_LiTSMaisiFullMixed,volume-83,572,0.9696,0.3722,0.6709,16.4886,135.0559,3.0607,134.2545,68.6576
Dataset004_LiTSMaisiFullMixed,volume-86,496,0.9782,0.2792,0.6287,16.0518,13.5782,2.0728,11.3038,6.6883
Dataset004_LiTSMaisiFullMixed,volume-89,383,0.9466,0.0,0.4733,125.1869,1.8446742974197924e+19,70.986,1.8446742974197924e+19,9.223371487098962e+18
Dataset004_LiTSMaisiFullMixed,volume-91,375,0.9826,0.0,0.4913,151.7171,1.8446742974197924e+19,1.716,1.8446742974197924e+19,9.223371487098962e+18
Dataset004_LiTSMaisiFullMixed,volume-94,577,0.9583,0.6295,0.7939,139.1078,36.1581,7.1916,26.6721,16.9319
Dataset004_LiTSMaisiFullMixed,volume-97,574,0.821,0.8827,0.8518,117.2856,145.143,67.6512,3.5,35.5756
Dataset005_LiTSMaisi100_50,volume-0,58,0.9671,0.7152,0.8412,20.0743,101.4727,5.0,5.0,5.0
Dataset005_LiTSMaisi100_50,volume-103,529,0.9714,0.8883,0.9298,11.7518,104.6872,2.3705,3.0844,2.7275
Dataset005_LiTSMaisi100_50,volume-11,416,0.9574,0.8024,0.8799,143.965,46.178,5.1547,2.8395,3.9971
Dataset005_LiTSMaisi100_50,volume-114,423,0.9804,0.0,0.4902,85.1712,1.8446742974197924e+19,1.7567,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-116,583,0.9072,0.0,0.4536,33.7036,1.8446742974197924e+19,11.6256,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-117,462,0.9493,0.8832,0.9162,73.8925,22.2008,2.885,3.477,3.181
Dataset005_LiTSMaisi100_50,volume-118,251,0.949,0.8708,0.9099,117.695,48.5069,4.9679,8.9606,6.9643
Dataset005_LiTSMaisi100_50,volume-119,230,0.973,1.0,0.9865,410.5674,,3.5439,,3.5439
Dataset005_LiTSMaisi100_50,volume-120,263,0.9774,0.2664,0.6219,25.7681,146.7254,2.2403,140.8181,71.5292
Dataset005_LiTSMaisi100_50,volume-124,235,0.9729,0.8856,0.9293,24.2459,42.7451,2.0508,3.5932,2.822
Dataset005_LiTSMaisi100_50,volume-126,226,0.9789,0.554,0.7665,58.4101,99.2233,2.1107,95.6215,48.8661
Dataset005_LiTSMaisi100_50,volume-13,363,0.9607,0.585,0.7728,43.2628,26.2773,4.2383,14.5539,9.3961
Dataset005_LiTSMaisi100_50,volume-130,505,0.9059,0.6371,0.7715,40.1279,46.2346,12.9421,22.5423,17.7422
Dataset005_LiTSMaisi100_50,volume-17,404,0.9774,0.8585,0.9179,42.5169,166.3297,2.9766,2.2324,2.6045
Dataset005_LiTSMaisi100_50,volume-20,477,0.9714,0.5687,0.77,371.3442,94.1124,3.6762,88.8114,46.2438
Dataset005_LiTSMaisi100_50,volume-25,521,0.9672,0.0,0.4836,20.7388,1.8446742974197924e+19,4.2,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-27,428,0.96,0.8069,0.8834,21.1136,37.0486,3.9758,5.7211,4.8484
Dataset005_LiTSMaisi100_50,volume-28,63,0.9652,0.8596,0.9124,28.2843,26.4953,4.1231,5.099,4.6111
Dataset005_LiTSMaisi100_50,volume-29,69,0.9662,0.2693,0.6178,95.0,17.0,4.5826,12.0416,8.3121
Dataset005_LiTSMaisi100_50,volume-3,361,0.9761,0.8472,0.9117,24.7496,91.1372,2.4337,1.9611,2.1974
Dataset005_LiTSMaisi100_50,volume-35,60,0.9606,0.2374,0.599,80.9074,119.1512,14.1421,111.018,62.5801
Dataset005_LiTSMaisi100_50,volume-4,463,0.8912,0.877,0.8841,227.1924,60.4428,63.8395,9.1642,36.5019
Dataset005_LiTSMaisi100_50,volume-43,59,0.9233,0.6884,0.8059,40.3113,125.9405,13.9284,114.1488,64.0386
Dataset005_LiTSMaisi100_50,volume-53,64,0.9706,0.4906,0.7306,31.2383,64.6794,5.1704,5.8363,5.5033
Dataset005_LiTSMaisi100_50,volume-54,77,0.9714,0.3558,0.6636,22.4276,6.111,4.8288,5.3319,5.0803
Dataset005_LiTSMaisi100_50,volume-57,326,0.9592,0.809,0.8841,22.3948,76.4475,3.9874,2.4519,3.2197
Dataset005_LiTSMaisi100_50,volume-6,353,0.9728,0.8636,0.9182,27.5849,35.1085,3.1478,2.3504,2.7491
Dataset005_LiTSMaisi100_50,volume-62,114,0.9774,0.6624,0.8199,28.0116,7.5307,2.3794,3.2629,2.8212
Dataset005_LiTSMaisi100_50,volume-64,189,0.972,0.9606,0.9663,33.5577,125.6948,2.8028,2.1458,2.4743
Dataset005_LiTSMaisi100_50,volume-69,202,0.9666,0.8749,0.9208,23.2754,2.7182,3.3716,2.0,2.6858
Dataset005_LiTSMaisi100_50,volume-70,286,0.9576,0.8852,0.9214,23.9247,85.4359,3.5608,2.827,3.1939
Dataset005_LiTSMaisi100_50,volume-71,75,0.9392,0.6911,0.8151,19.3721,47.7609,5.5664,15.8047,10.6855
Dataset005_LiTSMaisi100_50,volume-75,70,0.9643,0.8151,0.8897,28.8399,132.2316,5.0,5.4926,5.2463
Dataset005_LiTSMaisi100_50,volume-77,77,0.9503,0.5791,0.7647,25.0,11.0435,5.0606,8.0023,6.5315
Dataset005_LiTSMaisi100_50,volume-83,572,0.9707,0.3619,0.6663,15.5864,134.7366,3.0607,134.1431,68.6019
Dataset005_LiTSMaisi100_50,volume-86,496,0.9779,0.5182,0.7481,15.3123,43.0548,1.9568,9.5702,5.7635
Dataset005_LiTSMaisi100_50,volume-89,383,0.9759,0.0,0.4879,76.2014,1.8446742974197924e+19,2.1674,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-91,375,0.9845,0.0,0.4922,149.0817,1.8446742974197924e+19,1.4534,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-94,577,0.9654,0.6606,0.813,32.7172,36.1581,3.5249,25.5946,14.5598
Dataset005_LiTSMaisi100_50,volume-97,574,0.855,0.8852,0.8701,117.0703,144.5173,66.9023,3.4667,35.1845
Dataset006_LiTSMaisi100_80,volume-0,58,0.9566,0.7099,0.8333,25.7981,102.3552,5.0,23.353,14.1765
Dataset006_LiTSMaisi100_80,volume-103,529,0.9711,0.8656,0.9183,10.9939,8.9196,2.3705,3.4247,2.8976
Dataset006_LiTSMaisi100_80,volume-11,416,0.928,0.8143,0.8712,144.8948,70.3431,104.4714,2.2501,53.3607
Dataset006_LiTSMaisi100_80,volume-114,423,0.9712,0.0,0.4856,107.7083,1.8446742974197924e+19,2.5991,1.8446742974197924e+19,9.223371487098962e+18
